numid,list,messageid,senderaliasid,senderalias,referenceid,recipaliasid,recipalias,datetime,subject,body,from_commit
26883,54,JIRA.13057719.1490049741000.103966.1509392461065@Atlassian.JIRA,1317,ASF subversion and git services (JIRA),JIRA.13057719.1490049741000@Atlassian.JIRA,,,2017-10-30 12:41:01-07,"[jira] [Commented] (AIRFLOW-1018) Scheduler DAG processes can not
 log to stdout","
    [ https://issues.apache.org/jira/browse/AIRFLOW-1018?page=com.atlassian.jira.plugin.system.issuetabpanels:comment-tabpanel&focusedCommentId=16225624#comment-16225624 ] 

ASF subversion and git services commented on AIRFLOW-1018:
----------------------------------------------------------

Commit ef775d4f8aca13075eed7e207c07e5941ff68539 in incubator-airflow''s branch refs/heads/v1-9-test from [~bolke]
[ https://git-wip-us.apache.org/repos/asf?p=incubator-airflow.git;h=ef775d4 ]

[AIRFLOW-1018] Make processor use logging framework

Until now, the dga processor had its own logging
implementation,
making it hard to adjust for certain use cases
like working
in a container.

This patch moves everything to the standard
logging framework.

Closes #2728 from bolkedebruin/AIRFLOW-1018

(cherry picked from commit 4ee4e474b835b4f5f557226ba01b8cdfeb7d0789)
Signed-off-by: Bolke de Bruin <bolke@xs4all.nl>


> Scheduler DAG processes can not log to stdout
> ---------------------------------------------
>
>                 Key: AIRFLOW-1018
>                 URL: https://issues.apache.org/jira/browse/AIRFLOW-1018
>             Project: Apache Airflow
>          Issue Type: Bug
>    Affects Versions: 1.8.0
>         Environment: Airflow 1.8.0
>            Reporter: Vincent Poulain
>            Assignee: Bolke de Bruin
>            Priority: Blocker
>             Fix For: 1.9.0
>
>
> Each DAG has its own log file for the scheduler and we can specify the directory with child_process_log_directory param. 
> Unfortunately we can not change device / by specifying /dev/stdout for example. That is very useful when we execute Airflow in a container.
> When we specify /dev/stdout it raises:
> ""OSError: [Errno 20] Not a directory: ''/dev/stdout/2017-03-19''""



--
This message was sent by Atlassian JIRA
(v6.4.14#64029)

",t
26884,54,JIRA.13057719.1490049741000.103972.1509392461119@Atlassian.JIRA,1317,ASF subversion and git services (JIRA),JIRA.13057719.1490049741000@Atlassian.JIRA,,,2017-10-30 12:41:01-07,"[jira] [Commented] (AIRFLOW-1018) Scheduler DAG processes can not
 log to stdout","
    [ https://issues.apache.org/jira/browse/AIRFLOW-1018?page=com.atlassian.jira.plugin.system.issuetabpanels:comment-tabpanel&focusedCommentId=16225625#comment-16225625 ] 

ASF subversion and git services commented on AIRFLOW-1018:
----------------------------------------------------------

Commit ef775d4f8aca13075eed7e207c07e5941ff68539 in incubator-airflow''s branch refs/heads/v1-9-test from [~bolke]
[ https://git-wip-us.apache.org/repos/asf?p=incubator-airflow.git;h=ef775d4 ]

[AIRFLOW-1018] Make processor use logging framework

Until now, the dga processor had its own logging
implementation,
making it hard to adjust for certain use cases
like working
in a container.

This patch moves everything to the standard
logging framework.

Closes #2728 from bolkedebruin/AIRFLOW-1018

(cherry picked from commit 4ee4e474b835b4f5f557226ba01b8cdfeb7d0789)
Signed-off-by: Bolke de Bruin <bolke@xs4all.nl>


> Scheduler DAG processes can not log to stdout
> ---------------------------------------------
>
>                 Key: AIRFLOW-1018
>                 URL: https://issues.apache.org/jira/browse/AIRFLOW-1018
>             Project: Apache Airflow
>          Issue Type: Bug
>    Affects Versions: 1.8.0
>         Environment: Airflow 1.8.0
>            Reporter: Vincent Poulain
>            Assignee: Bolke de Bruin
>            Priority: Blocker
>             Fix For: 1.9.0
>
>
> Each DAG has its own log file for the scheduler and we can specify the directory with child_process_log_directory param. 
> Unfortunately we can not change device / by specifying /dev/stdout for example. That is very useful when we execute Airflow in a container.
> When we specify /dev/stdout it raises:
> ""OSError: [Errno 20] Not a directory: ''/dev/stdout/2017-03-19''""



--
This message was sent by Atlassian JIRA
(v6.4.14#64029)

",t
26885,54,JIRA.13057719.1490049741000.103979.1509392461188@Atlassian.JIRA,1275,Bolke de Bruin (JIRA),JIRA.13057719.1490049741000@Atlassian.JIRA,,,2017-10-30 12:41:01-07,"[jira] [Resolved] (AIRFLOW-1018) Scheduler DAG processes can not
 log to stdout","
     [ https://issues.apache.org/jira/browse/AIRFLOW-1018?page=com.atlassian.jira.plugin.system.issuetabpanels:all-tabpanel ]

Bolke de Bruin resolved AIRFLOW-1018.
-------------------------------------
    Resolution: Fixed

Issue resolved by pull request #2728
[https://github.com/apache/incubator-airflow/pull/2728]

> Scheduler DAG processes can not log to stdout
> ---------------------------------------------
>
>                 Key: AIRFLOW-1018
>                 URL: https://issues.apache.org/jira/browse/AIRFLOW-1018
>             Project: Apache Airflow
>          Issue Type: Bug
>    Affects Versions: 1.8.0
>         Environment: Airflow 1.8.0
>            Reporter: Vincent Poulain
>            Assignee: Bolke de Bruin
>            Priority: Blocker
>             Fix For: 1.9.0
>
>
> Each DAG has its own log file for the scheduler and we can specify the directory with child_process_log_directory param. 
> Unfortunately we can not change device / by specifying /dev/stdout for example. That is very useful when we execute Airflow in a container.
> When we specify /dev/stdout it raises:
> ""OSError: [Errno 20] Not a directory: ''/dev/stdout/2017-03-19''""



--
This message was sent by Atlassian JIRA
(v6.4.14#64029)

",t
26886,54,JIRA.13113100.1509386655000.104967.1509399960495@Atlassian.JIRA,2040,Ash Berlin-Taylor (JIRA),JIRA.13113100.1509386655000@Atlassian.JIRA,,,2017-10-30 14:46:00-07,"[jira] [Commented] (AIRFLOW-1765) Default API auth backed should
 deny all.","
    [ https://issues.apache.org/jira/browse/AIRFLOW-1765?page=com.atlassian.jira.plugin.system.issuetabpanels:comment-tabpanel&focusedCommentId=16225789#comment-16225789 ] 

Ash Berlin-Taylor commented on AIRFLOW-1765:
--------------------------------------------

Fair points.

I think the surprising thing to me was that it defaults to allow/isn''t mentioned in https://airflow.apache.org/security.html -- and I think from the code there''s no way to not make it open by default other than maybe to mis-configure an api auth backend? I don''t have the code in front of me and it''s late so I might be way off on this.

My plan will be to create 2, or 3 auth api backends. A ""denyAll"" (and make this the default now), a ""allowAll"" to get the old behaviour back. It might also be worth creating a ""sessionAuth"" wich just needs a valid login using whatever mechanism the front end allows. (#3 is probably optional for closing this hole)

Suitable doc updates to go with this.

Sound reasonable?

> Default API auth backed should deny all.
> ----------------------------------------
>
>                 Key: AIRFLOW-1765
>                 URL: https://issues.apache.org/jira/browse/AIRFLOW-1765
>             Project: Apache Airflow
>          Issue Type: Improvement
>          Components: api, authentication
>    Affects Versions: 1.8.2
>            Reporter: Ash Berlin-Taylor
>              Labels: security
>             Fix For: 1.9.0
>
>
> It has been discovered that the experimental API in the default configuration is not protected behind any authentication.
> This means that out of the box the Airflow webserver''s /api/experimental/ can be requested by anyone, meaning pools can be updated/deleted and task instance variables can be read.



--
This message was sent by Atlassian JIRA
(v6.4.14#64029)

",t
26887,54,JIRA.13113264.1509443325000.109439.1509443340289@Atlassian.JIRA,2273,Rupesh Bansal (JIRA),JIRA.13113264.1509443325000@Atlassian.JIRA,,,2017-10-31 02:49:00-07,"[jira] [Created] (AIRFLOW-1766) Handle failure of Qubole commands
 when connection is set from CLI","Rupesh Bansal created AIRFLOW-1766:
--------------------------------------

             Summary: Handle failure of Qubole commands when connection is set from CLI
                 Key: AIRFLOW-1766
                 URL: https://issues.apache.org/jira/browse/AIRFLOW-1766
             Project: Apache Airflow
          Issue Type: Bug
            Reporter: Rupesh Bansal
            Assignee: Rupesh Bansal






--
This message was sent by Atlassian JIRA
(v6.4.14#64029)

",t
706882,24,153193359137.27618.7816912003188194168.gitbox@gitbox.apache.org,3034,GitBox,NULL,,,2018-07-18 10:06:31-07,"[GitHub] larroy commented on a change in pull request #11798: flaky: Disable
 kvstore test","larroy commented on a change in pull request #11798: flaky: Disable kvstore test
URL: https://github.com/apache/incubator-mxnet/pull/11798#discussion_r203457714
 
 

 ##########
 File path: Jenkinsfile
 ##########
 @@ -1011,6 +1011,9 @@ try {
         }
       }
     },
+    /*  Disabled due to master build failure:
+     *  http://jenkins.mxnet-ci.amazon-ml.com/blue/organizations/jenkins/incubator-mxnet/detail/master/1221/pipeline/
+
 
 Review comment:
   Done

----------------------------------------------------------------
This is an automated message from the Apache Git Service.
To respond to the message, please log on GitHub and use the
URL above to go to the specific comment.
 
For queries about this service, please contact Infrastructure at:
users@infra.apache.org


With regards,
Apache Git Services

",t
26888,54,JIRA.13113100.1509386655000.110389.1509453301598@Atlassian.JIRA,2040,Ash Berlin-Taylor (JIRA),JIRA.13113100.1509386655000@Atlassian.JIRA,,,2017-10-31 05:35:01-07,"[jira] [Commented] (AIRFLOW-1765) Default API auth backed should
 deny all.","
    [ https://issues.apache.org/jira/browse/AIRFLOW-1765?page=com.atlassian.jira.plugin.system.issuetabpanels:comment-tabpanel&focusedCommentId=16226700#comment-16226700 ] 

Ash Berlin-Taylor commented on AIRFLOW-1765:
--------------------------------------------

I have created two PRs that address fix this in different ways. Only one should be used and the other closed unmerged.

- https://github.com/apache/incubator-airflow/pull/2736 - default backend denies all, added an allow_all backend
- https://github.com/apache/incubator-airflow/pull/2737 - default backend still allows_all, added a deny_all backend.

In cases both there remains a airflow.api.auth.backend.default so that existing config''s won''t suddenly break.

> Default API auth backed should deny all.
> ----------------------------------------
>
>                 Key: AIRFLOW-1765
>                 URL: https://issues.apache.org/jira/browse/AIRFLOW-1765
>             Project: Apache Airflow
>          Issue Type: Improvement
>          Components: api, authentication
>    Affects Versions: 1.8.2
>            Reporter: Ash Berlin-Taylor
>              Labels: security
>             Fix For: 1.9.0
>
>
> It has been discovered that the experimental API in the default configuration is not protected behind any authentication.
> This means that out of the box the Airflow webserver''s /api/experimental/ can be requested by anyone, meaning pools can be updated/deleted and task instance variables can be read.



--
This message was sent by Atlassian JIRA
(v6.4.14#64029)

",t
26889,54,JIRA.13080590.1497705847000.111211.1509458580435@Atlassian.JIRA,1317,ASF subversion and git services (JIRA),JIRA.13080590.1497705847000@Atlassian.JIRA,,,2017-10-31 07:03:00-07,"[jira] [Commented] (AIRFLOW-1315) Add Qubole File and Partition
 Sensors","
    [ https://issues.apache.org/jira/browse/AIRFLOW-1315?page=com.atlassian.jira.plugin.system.issuetabpanels:comment-tabpanel&focusedCommentId=16226832#comment-16226832 ] 

ASF subversion and git services commented on AIRFLOW-1315:
----------------------------------------------------------

Commit c5776375fdb8cc54edc0c67d623b3ea02a0f325a in incubator-airflow''s branch refs/heads/master from [~msumit]
[ https://git-wip-us.apache.org/repos/asf?p=incubator-airflow.git;h=c577637 ]

[AIRFLOW-1315] Add Qubole File & Partition Sensors

Closes #2401 from msumit/AIRFLOW-1315


> Add Qubole File and Partition Sensors
> -------------------------------------
>
>                 Key: AIRFLOW-1315
>                 URL: https://issues.apache.org/jira/browse/AIRFLOW-1315
>             Project: Apache Airflow
>          Issue Type: Task
>            Reporter: Sumit Maheshwari
>            Assignee: Sumit Maheshwari
>              Labels: contrib, qds, sensors
>             Fix For: 1.9.0
>
>
> Support to call Qubole''s File and Partitions sensors from Airflow. APIs are listed here http://docs.qubole.com/en/latest/rest-api/sensor_api/index.html



--
This message was sent by Atlassian JIRA
(v6.4.14#64029)

",t
26890,54,JIRA.13080590.1497705847000.111215.1509458580457@Atlassian.JIRA,1342,Sumit Maheshwari (JIRA),JIRA.13080590.1497705847000@Atlassian.JIRA,,,2017-10-31 07:03:00-07,"[jira] [Resolved] (AIRFLOW-1315) Add Qubole File and Partition
 Sensors","
     [ https://issues.apache.org/jira/browse/AIRFLOW-1315?page=com.atlassian.jira.plugin.system.issuetabpanels:all-tabpanel ]

Sumit Maheshwari resolved AIRFLOW-1315.
---------------------------------------
       Resolution: Fixed
    Fix Version/s: 1.9.0

Issue resolved by pull request #2401
[https://github.com/apache/incubator-airflow/pull/2401]

> Add Qubole File and Partition Sensors
> -------------------------------------
>
>                 Key: AIRFLOW-1315
>                 URL: https://issues.apache.org/jira/browse/AIRFLOW-1315
>             Project: Apache Airflow
>          Issue Type: Task
>            Reporter: Sumit Maheshwari
>            Assignee: Sumit Maheshwari
>              Labels: contrib, qds, sensors
>             Fix For: 1.9.0
>
>
> Support to call Qubole''s File and Partitions sensors from Airflow. APIs are listed here http://docs.qubole.com/en/latest/rest-api/sensor_api/index.html



--
This message was sent by Atlassian JIRA
(v6.4.14#64029)

",t
26891,54,JIRA.13080590.1497705847000.111213.1509458580447@Atlassian.JIRA,1317,ASF subversion and git services (JIRA),JIRA.13080590.1497705847000@Atlassian.JIRA,,,2017-10-31 07:03:00-07,"[jira] [Commented] (AIRFLOW-1315) Add Qubole File and Partition
 Sensors","
    [ https://issues.apache.org/jira/browse/AIRFLOW-1315?page=com.atlassian.jira.plugin.system.issuetabpanels:comment-tabpanel&focusedCommentId=16226833#comment-16226833 ] 

ASF subversion and git services commented on AIRFLOW-1315:
----------------------------------------------------------

Commit c5776375fdb8cc54edc0c67d623b3ea02a0f325a in incubator-airflow''s branch refs/heads/master from [~msumit]
[ https://git-wip-us.apache.org/repos/asf?p=incubator-airflow.git;h=c577637 ]

[AIRFLOW-1315] Add Qubole File & Partition Sensors

Closes #2401 from msumit/AIRFLOW-1315


> Add Qubole File and Partition Sensors
> -------------------------------------
>
>                 Key: AIRFLOW-1315
>                 URL: https://issues.apache.org/jira/browse/AIRFLOW-1315
>             Project: Apache Airflow
>          Issue Type: Task
>            Reporter: Sumit Maheshwari
>            Assignee: Sumit Maheshwari
>              Labels: contrib, qds, sensors
>             Fix For: 1.9.0
>
>
> Support to call Qubole''s File and Partitions sensors from Airflow. APIs are listed here http://docs.qubole.com/en/latest/rest-api/sensor_api/index.html



--
This message was sent by Atlassian JIRA
(v6.4.14#64029)

",t
26892,54,JIRA.13090376.1501110696000.111990.1509462420059@Atlassian.JIRA,2364,Paul English (JIRA),JIRA.13090376.1501110696000@Atlassian.JIRA,,,2017-10-31 08:07:00-07,"[jira] [Commented] (AIRFLOW-1468) Airflow job in queue state when
 worker is different from master","
    [ https://issues.apache.org/jira/browse/AIRFLOW-1468?page=com.atlassian.jira.plugin.system.issuetabpanels:comment-tabpanel&focusedCommentId=16226949#comment-16226949 ] 

Paul English commented on AIRFLOW-1468:
---------------------------------------

Also seeing this issue with airflow 1.8.2 using the CeleryExecutor

> Airflow job in queue state when worker is different from master
> ---------------------------------------------------------------
>
>                 Key: AIRFLOW-1468
>                 URL: https://issues.apache.org/jira/browse/AIRFLOW-1468
>             Project: Apache Airflow
>          Issue Type: Bug
>            Reporter: Ram
>
> Hi
> I setup the master/worker infrastructure. When i schedule my job with master as worker the job ran successfully. But when worker is different machine then i am seeing different behavior.
> In logs folder on remote work log is created and able see the output of bash operator and log showing the message like below
> [2017-07-26 15:51:14,892] {base_task_runner.py:95} INFO - Subtask: [2017-07-26 15:51:14,891] {bash_operator.py:94} INFO - Wed Jul 26 15:51:14 PDT 2017
> [2017-07-26 15:51:14,892] {base_task_runner.py:95} INFO - Subtask: [2017-07-26 15:51:14,892] {bash_operator.py:97} INFO - Command exited with return code 0
> [2017-07-26 15:51:19,056] {jobs.py:2083} INFO - Task exited with return code 0
> [2017-07-26 15:51:26,516] {models.py:167} INFO - Filling up the DagBag from /home/skathane/airflow/dags/test.py
> [2017-07-26 15:51:26,605] {base_task_runner.py:112} INFO - Running: [''bash'', ''-c'', u''airflow run test t2 2017-07-26T15:51:10.186620 --job_id 92 --raw -sd DAGS_FOLDER/test.py'']
> [2017-07-26 15:51:27,077] {base_task_runner.py:95} INFO - Subtask: [2017-07-26 15:51:27,077] {__init__.py:57} INFO - Using executor CeleryExecutor
> It seems task executed successfully but it not terminated and in Queue state only. In log further i am seeing below error.
> [2017-07-26 15:51:27,396] {base_task_runner.py:95} INFO - Subtask: [2017-07-26 15:51:27,396] {models.py:1120} I{color:red}*NFO - Dependencies not met for <TaskInstance: test.t2 2017-07-26 15:51:10.186620 [success]>, dependency ''Task Instance State'' FAILED: Task is in the ''success'' state which is not a valid state for execution. The task must be cleared in order to be run.
> *{color}



--
This message was sent by Atlassian JIRA
(v6.4.14#64029)

",t
26893,54,JIRA.12994308.1470151190000.113288.1509470640333@Atlassian.JIRA,2247,Stephan Erb (JIRA),JIRA.12994308.1470151190000@Atlassian.JIRA,,,2017-10-31 10:24:00-07,[jira] [Commented] (AIRFLOW-387) Dropped postgres connections,"
    [ https://issues.apache.org/jira/browse/AIRFLOW-387?page=com.atlassian.jira.plugin.system.issuetabpanels:comment-tabpanel&focusedCommentId=16227150#comment-16227150 ] 

Stephan Erb commented on AIRFLOW-387:
-------------------------------------

I have opened a pull request in order to close database sessions when no longer needed: https://github.com/apache/incubator-airflow/pull/2739

> Dropped postgres connections
> ----------------------------
>
>                 Key: AIRFLOW-387
>                 URL: https://issues.apache.org/jira/browse/AIRFLOW-387
>             Project: Apache Airflow
>          Issue Type: Bug
>          Components: core
>    Affects Versions: Airflow 1.7.1.3
>         Environment: Running aiflow with postgresql+psycopg2, Postgres 9.1.19 backend.
>            Reporter: Andreas Merkel
>
> With the {{postgresql+psycopg2}} driver, we observe dropped connections in the database logs on the postgres server:
> {code}
> 2016-08-02 14:49:26 UTC LOG:  could not receive data from client: Connection reset by peer
> 2016-08-02 14:49:26 UTC LOG:  unexpected EOF on client connection
> {code}
> Three of these messages appear even if Airflow is started without any DAGs. If there are DAGs, the messages appear whenever the DAG is executed (even for simple DAGs like a Python operator that does nothing).
> On the Airflow side, everything works fine; it''s just the messages in the log indicating that Airflow is somehow dropping the connections to Postgres without closing them properly.
> h2. Environment
> {{airflow.cfg}}:
> {code}
> [core]
> airflow_home = $PWD
> dags_folder = $PWD/dags
> base_log_folder = $PWD/airflow_logs
> plugins_folder = $PWD/plugins
> executor = LocalExecutor
> sql_alchemy_conn = postgresql+psycopg2://postgres:postgres@127.0.0.1/airflow
> parallelism = 32
> dag_concurrency = 16
> max_active_runs_per_dag = 16
> load_examples = False
> donot_pickle = False
> fernet_key =  ; provided via environment
> dags_are_paused_at_creation = False
> [webserver]
> expose_config = true
> authenticate = False
> filter_by_owner = False
> workers = 4
> worker_class = sync
> [scheduler]
> job_heartbeat_sec = 5
> scheduler_heartbeat_sec = 5
> [celery]
> celeryd_concurrency = 1  ; Oddly enough, this is needed though we don''t use celery.
> {code}
> Installed packages:
> {code}
> airflow==1.7.1.3
> alembic==0.8.6
> Babel==1.3
> cffi==1.6.0
> chartkick==0.4.2
> croniter==0.3.12
> cryptography==1.3.2
> dill==0.2.5
> docutils==0.12
> enum34==1.1.6
> Flask==0.10.1
> Flask-Admin==1.4.0
> Flask-Cache==0.13.1
> Flask-Login==0.2.11
> Flask-WTF==0.12
> funcsigs==0.4
> future==0.15.2
> gunicorn==19.3.0
> idna==2.1
> ipaddress==1.0.16
> itsdangerous==0.24
> Jinja2==2.8
> lockfile==0.12.2
> Mako==1.0.4
> Markdown==2.6.6
> MarkupSafe==0.23
> numpy==1.11.0
> pandas==0.18.1
> psycopg2==2.6.1
> pyasn1==0.1.9
> pycparser==2.14
> Pygments==2.1.3
> python-daemon==2.1.1
> python-dateutil==2.5.3
> python-editor==1.0.1
> pytz==2016.4
> requests==2.10.0
> setproctitle==1.1.10
> six==1.10.0
> smoketest-dag==0.7
> SQLAlchemy==1.0.13
> thrift==0.9.3
> Werkzeug==0.11.10
> WTForms==2.1
> {code}



--
This message was sent by Atlassian JIRA
(v6.4.14#64029)

",t
26894,54,JIRA.13113367.1509471930000.113499.1509471961599@Atlassian.JIRA,1504,David Klosowski (JIRA),JIRA.13113367.1509471930000@Atlassian.JIRA,,,2017-10-31 10:46:01-07,[jira] [Created] (AIRFLOW-1767) Airflow Scheduler no longer works,"David Klosowski created AIRFLOW-1767:
----------------------------------------

             Summary: Airflow Scheduler no longer works
                 Key: AIRFLOW-1767
                 URL: https://issues.apache.org/jira/browse/AIRFLOW-1767
             Project: Apache Airflow
          Issue Type: Bug
          Components: scheduler
    Affects Versions: 1.9.0, 1.10.0
         Environment: CeleryExecutor, Docker, 3 Workers
            Reporter: David Klosowski
            Priority: Blocker


The Airflow Scheduler no longer schedules DAGs after this commit on master:

https://github.com/apache/incubator-airflow/commit/73549763eac74142b7c4018422bb2f8c897b45a8







--
This message was sent by Atlassian JIRA
(v6.4.14#64029)

",t
26895,54,JIRA.13113367.1509471930000.113556.1509472080968@Atlassian.JIRA,1504,David Klosowski (JIRA),JIRA.13113367.1509471930000@Atlassian.JIRA,,,2017-10-31 10:48:00-07,"[jira] [Updated] (AIRFLOW-1767) Airflow Scheduler no longer
 schedules DAGs","
     [ https://issues.apache.org/jira/browse/AIRFLOW-1767?page=com.atlassian.jira.plugin.system.issuetabpanels:all-tabpanel ]

David Klosowski updated AIRFLOW-1767:
-------------------------------------
    Summary: Airflow Scheduler no longer schedules DAGs  (was: Airflow Scheduler no longer works)

> Airflow Scheduler no longer schedules DAGs
> ------------------------------------------
>
>                 Key: AIRFLOW-1767
>                 URL: https://issues.apache.org/jira/browse/AIRFLOW-1767
>             Project: Apache Airflow
>          Issue Type: Bug
>          Components: scheduler
>    Affects Versions: 1.9.0, 1.10.0
>         Environment: CeleryExecutor, Docker, 3 Workers
>            Reporter: David Klosowski
>            Priority: Blocker
>
> The Airflow Scheduler no longer schedules DAGs after this commit on master:
> https://github.com/apache/incubator-airflow/commit/73549763eac74142b7c4018422bb2f8c897b45a8



--
This message was sent by Atlassian JIRA
(v6.4.14#64029)

",t
26896,54,JIRA.13113367.1509471930000.113589.1509472140323@Atlassian.JIRA,1504,David Klosowski (JIRA),JIRA.13113367.1509471930000@Atlassian.JIRA,,,2017-10-31 10:49:00-07,"[jira] [Updated] (AIRFLOW-1767) Airflow Scheduler no longer
 schedules DAGs","
     [ https://issues.apache.org/jira/browse/AIRFLOW-1767?page=com.atlassian.jira.plugin.system.issuetabpanels:all-tabpanel ]

David Klosowski updated AIRFLOW-1767:
-------------------------------------
    Description: 
The Airflow Scheduler no longer schedules DAGs after this commit on master:

https://github.com/apache/incubator-airflow/commit/73549763eac74142b7c4018422bb2f8c897b45a8

Workers never receive any tasks and the scheduler never adjusts DAG state.




  was:
The Airflow Scheduler no longer schedules DAGs after this commit on master:

https://github.com/apache/incubator-airflow/commit/73549763eac74142b7c4018422bb2f8c897b45a8






> Airflow Scheduler no longer schedules DAGs
> ------------------------------------------
>
>                 Key: AIRFLOW-1767
>                 URL: https://issues.apache.org/jira/browse/AIRFLOW-1767
>             Project: Apache Airflow
>          Issue Type: Bug
>          Components: scheduler
>    Affects Versions: 1.9.0, 1.10.0
>         Environment: CeleryExecutor, Docker, 3 Workers
>            Reporter: David Klosowski
>            Priority: Blocker
>
> The Airflow Scheduler no longer schedules DAGs after this commit on master:
> https://github.com/apache/incubator-airflow/commit/73549763eac74142b7c4018422bb2f8c897b45a8
> Workers never receive any tasks and the scheduler never adjusts DAG state.



--
This message was sent by Atlassian JIRA
(v6.4.14#64029)

",t
26897,54,JIRA.13104409.1506114351000.113883.1509474000129@Atlassian.JIRA,1317,ASF subversion and git services (JIRA),JIRA.13104409.1506114351000@Atlassian.JIRA,,,2017-10-31 11:20:00-07,[jira] [Commented] (AIRFLOW-1634) Add task_concurrency feature,"
    [ https://issues.apache.org/jira/browse/AIRFLOW-1634?page=com.atlassian.jira.plugin.system.issuetabpanels:comment-tabpanel&focusedCommentId=16227263#comment-16227263 ] 

ASF subversion and git services commented on AIRFLOW-1634:
----------------------------------------------------------

Commit 87afe8901559d4aa8b74179e980ca63fd1dedcb5 in incubator-airflow''s branch refs/heads/v1-9-test from [~saguziel]
[ https://git-wip-us.apache.org/repos/asf?p=incubator-airflow.git;h=87afe89 ]

[AIRFLOW-1634] Adds task_concurrency feature

This adds a feature to limit the concurrency of
individual tasks. The
default will be to not change existing behavior.

Closes #2624 from saguziel/aguziel-task-
concurrency

(cherry picked from commit cfc2f73c445074e1e09d6ef6a056cd2b33a945da)
Signed-off-by: Bolke de Bruin <bolke@xs4all.nl>


> Add task_concurrency feature
> ----------------------------
>
>                 Key: AIRFLOW-1634
>                 URL: https://issues.apache.org/jira/browse/AIRFLOW-1634
>             Project: Apache Airflow
>          Issue Type: New Feature
>            Reporter: Alex Guziel
>            Assignee: Alex Guziel
>
> This would allow a concurrency limit to be placed on individual tasks (which are represented by task_id, dag_id tuple).



--
This message was sent by Atlassian JIRA
(v6.4.14#64029)

",t
26898,54,JIRA.13113367.1509471930000.113888.1509474182304@Atlassian.JIRA,1275,Bolke de Bruin (JIRA),JIRA.13113367.1509471930000@Atlassian.JIRA,,,2017-10-31 11:23:02-07,"[jira] [Resolved] (AIRFLOW-1767) Airflow Scheduler no longer
 schedules DAGs","
     [ https://issues.apache.org/jira/browse/AIRFLOW-1767?page=com.atlassian.jira.plugin.system.issuetabpanels:all-tabpanel ]

Bolke de Bruin resolved AIRFLOW-1767.
-------------------------------------
       Resolution: Fixed
    Fix Version/s: 1.9.0

An earlier commit was missing from v1-9-test, that has been resolved now.

> Airflow Scheduler no longer schedules DAGs
> ------------------------------------------
>
>                 Key: AIRFLOW-1767
>                 URL: https://issues.apache.org/jira/browse/AIRFLOW-1767
>             Project: Apache Airflow
>          Issue Type: Bug
>          Components: scheduler
>    Affects Versions: 1.9.0
>         Environment: CeleryExecutor, Docker, 3 Workers
>            Reporter: David Klosowski
>            Priority: Blocker
>             Fix For: 1.9.0
>
>
> The Airflow Scheduler no longer schedules DAGs after this commit on master:
> https://github.com/apache/incubator-airflow/commit/73549763eac74142b7c4018422bb2f8c897b45a8
> Workers never receive any tasks and the scheduler never adjusts DAG state.



--
This message was sent by Atlassian JIRA
(v6.4.14#64029)

",t
631167,147,20040416170937.17641.qmail@nagoya.betaversion.org,23834,bugzilla,NULL,,,2004-04-16 10:09:37-07,"DO NOT REPLY [Bug 27470]  - 
    Upgrade all source files to ASF 2.0 license","DO NOT REPLY TO THIS EMAIL, BUT PLEASE POST YOUR BUG 
RELATED COMMENTS THROUGH THE WEB INTERFACE AVAILABLE AT
<http://issues.apache.org/bugzilla/show_bug.cgi?id=27470>.
ANY REPLY MADE TO THIS MESSAGE WILL NOT BE COLLECTED AND 
INSERTED IN THE BUG DATABASE.

http://issues.apache.org/bugzilla/show_bug.cgi?id=27470

Upgrade all source files to ASF 2.0 license

gregor@apache.org changed:

           What    |Removed                     |Added
----------------------------------------------------------------------------
   Target Milestone|1.2                         |1.4



------- Additional Comments From gregor@apache.org  2004-04-16 17:09 -------
we believe this is done. i will leave the bug open for reference.

---------------------------------------------------------------------
To unsubscribe, e-mail: lenya-dev-unsubscribe@cocoon.apache.org
For additional commands, e-mail: lenya-dev-help@cocoon.apache.org


",f
26899,54,JIRA.13113367.1509471930000.113892.1509474182340@Atlassian.JIRA,1275,Bolke de Bruin (JIRA),JIRA.13113367.1509471930000@Atlassian.JIRA,,,2017-10-31 11:23:02-07,"[jira] [Updated] (AIRFLOW-1767) Airflow Scheduler no longer
 schedules DAGs","
     [ https://issues.apache.org/jira/browse/AIRFLOW-1767?page=com.atlassian.jira.plugin.system.issuetabpanels:all-tabpanel ]

Bolke de Bruin updated AIRFLOW-1767:
------------------------------------
    Affects Version/s:     (was: 1.10.0)

> Airflow Scheduler no longer schedules DAGs
> ------------------------------------------
>
>                 Key: AIRFLOW-1767
>                 URL: https://issues.apache.org/jira/browse/AIRFLOW-1767
>             Project: Apache Airflow
>          Issue Type: Bug
>          Components: scheduler
>    Affects Versions: 1.9.0
>         Environment: CeleryExecutor, Docker, 3 Workers
>            Reporter: David Klosowski
>            Priority: Blocker
>             Fix For: 1.9.0
>
>
> The Airflow Scheduler no longer schedules DAGs after this commit on master:
> https://github.com/apache/incubator-airflow/commit/73549763eac74142b7c4018422bb2f8c897b45a8
> Workers never receive any tasks and the scheduler never adjusts DAG state.



--
This message was sent by Atlassian JIRA
(v6.4.14#64029)

",t
